No. Etiqueta,Cantidad,Articulo,Marca,Modelo,No. De Serie,Estado,Caracteristicas,Ubicación Fisica,Observaciones,Encontrado,Encargado
439350,1,MIMIO CAPTURE,DYMO,MIMIO CAPTURE,8862D175,BUENO,MIMIO CAPTURE DYMO 8862D175,SALA DIGITAL,S/O,0,Quique
439351,1,MIMIO VIEW,DYMO,MIMIO VIEW,956606A9,BUENO,MIMIO VIEW DYMO 956606A9,SALA DIGITAL,S/O,0,Quique
439352,1,MIMIO VOTE,DYMO,MIMIO VOTE,24ACE22E,BUENO,MIMIO VOTE DYMO 24ACE22E,SALA DIGITAL,S/O,0,Quique
447723,1,SILLON SEMI-EJECUTIVO,N/A,N/A,N/A,REGULAR,SILLON SEMI-EJECUTIVO,UNIDAD DE INFORMATICA,S/O,0,Quique
447748,1,NOBREAK,KOBLENZ,4816R,171224396,EXCELENTE,NOBREAK KOBLENZ 4816R,UNIDAD DE INFORMATICA,S/O,0,Quique
448133,1,SILLA FIJA,SIN MCA.,N/A,N/A,Excelente,SILLA,UNIDAD DE INFORMATICA,S/O,0,Quique
448136,1,SILLA FIJA,SIN MCA.,N/A,N/A,Excelente,SILLA,UNIDAD DE INFORMATICA,S/O,0,Quique
448162,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448163,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448164,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448165,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448166,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448167,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448168,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448169,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448170,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448171,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448172,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448173,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448174,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448175,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448176,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448177,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448178,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448179,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448180,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448181,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448182,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448183,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448184,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448185,1,SILLA,N/A,N/A,N/A,BUENO,SILLA FIJA ,SALA DE COMPUTO,S/O,0,Quique
448755,1,WORKSTATION,HP,Z240,8292BTC,EXCELENTE,ESTACION DE TRABAJO HP Z240,UNIDAD DE INFORMATICA,S/O,0,Quique
448756,1,MONITOR,HP,N223V,8100MV9,EXCELENTE,"MONITOR HP N223V 21.5""",UNIDAD DE INFORMATICA,S/O,0,Quique
448961,1,NO BREAK,CDP,RUSMAT1010,4060500,Bueno,NO BREAK CDP RUSMAT1010,UNIDAD DE INFORMATICA,S/O,0,Quique
448971,1,COMPUTADORA ALL IN ONE,LENOVO,V310Z,S1H0W4KV,Regular,COMPUTADORA ALL IN ONE LENOVO V310Z,UNIDAD DE INFORMATICA,S/O,0,Quique
449067,1,WHITEBOARD PEN,N/A,N/A,N/A,BUENO,WHITEBOARD PEN,SALA DIGITAL,S/O,0,Quique
449068,1,WHITEBOARD PEN,N/A,N/A,N/A,BUENO,WHITEBOARD PEN,SALA DIGITAL,S/O,0,Quique
455642,1,NOBREAK,CDP,R-SMART,3901003,EXCELENTE,NOBREAK R-SMART 3901003,UNIDAD DE INFORMATICA,S/O,0,Quique
455644,1,NOBREAK,CDP,R-SMART,3901005,EXCELENTE,NOBREAK R-SMART 3901005,UNIDAD DE INFORMATICA,S/O,0,Quique
457292,1,P.C.,GHIA,FRONTIER,357606,BUENO,P.C. GHIA FRONTIER 357606,UNIDAD DE INFORMATICA,S/O,0,Quique
457293,1,P.C.,GHIA,FRONTIER,357620,EXCELENTE,P.C.  GHIA FRONTIER 357620,UNIDAD DE INFORMATICA,S/O,0,Quique
457421,1,IMAC,APPLE,A2115,L0J3JV3P,EXCELENTE,"IMAC A2115 27""",UNIDAD DE INFORMATICA,S/O,0,Quique
457425,1,IMAC,APPLE,A2115,209MJV3Y,EXCELENTE,"IMAC A2115 27""",UNIDAD DE INFORMATICA,S/O,0,Quique
461665,1,KIT DE ILUMINACION,N/A,N/A,N/A,EXCELENTE,KIT DE ILUMINACION,UNIDAD DE INFORMATICA,S/O,0,Quique
461825,1,SWITCH,LINKSYS,LGS326,14B10C99907260,EXCELENTE,SWITCH LINKSYS LGS326,UNIDAD DE INFORMATICA,S/O,0,Quique
461826,1,SWITCH,LINKSYS,LGS326,14B10C99907349,EXCELENTE,SWITCH LINKSYS LGS326,UNIDAD DE INFORMATICA,S/O,0,Quique
461929,1,AMPLIFICADOR DE SONIDO,BEHRINGER,EUROLIVE,5200100106A4W,EXCELENTE,ALTAVOZ PROFESIONAL,UNIDAD DE INFORMATICA,S/O,0,Quique
461931,1,SERVIDOR,LENOVO,ST550,JI00ERG1,Excelente,SERVIDOR LENOVO ST550,UNIDAD DE INFORMATICA,S/O,0,Quique
